code,description,periods,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,restrict_types
BOS-SSWP-88,STREET SWEEPING 08:00-12:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-89,STREET SWEEPING 08:00-12:00 TUE - 1st 3rd WEEKS,"04-06,04-13;05-04,05-11;06-08,06-15;07-06,07-13;07-27,08-03;08-10,08-17;09-07,09-14;10-05,10-12;10-26,11-02;11-09,11-16",,8.0,12.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-90,STREET SWEEPING 08:00-12:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-91,STREET SWEEPING 00:00-07:00 DAILY - YEAR ROUND,,,0.0,7.0,7.0,,,,,,,,1,,sweeping
BOS-SSWP-92,STREET SWEEPING 12:00-16:00 FRI - 1st 3rd WEEKS,"03-26,04-02;04-09,04-16;05-07,05-14;05-28,06-04;06-11,06-18;06-25,07-02;07-09,07-16;07-30,08-06;08-13,08-20;08-27,09-03;09-10,09-17;10-08,10-15;10-29,11-05;11-12,11-19",,12.0,16.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-93,STREET SWEEPING 00:00-07:00 DAILY - YEAR ROUND,,,0.0,7.0,7.0,,,,,,,,1,,sweeping
BOS-SSWP-94,STREET SWEEPING 08:00-12:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-95,STREET SWEEPING 06:00-08:00 WED - 2nd 4th WEEKS,"03-31,04-07;04-14,04-21;04-28,05-05;05-12,05-19;06-02,06-09;06-16,06-23;06-30,07-07;07-14,07-21;08-04,08-11;08-18,08-25;09-01,09-08;09-15,09-22;09-29,10-06;10-13,10-20;11-03,11-10;11-17,11-24",,6.0,8.0,2.0,,,1,,,,,,,sweeping
BOS-SSWP-96,STREET SWEEPING 08:00-12:00 MON - 1st 3rd WEEKS,"04-05,04-12;05-03,05-10;06-07,06-14;07-05,07-12;07-26,08-02;08-09,08-16;09-06,09-13;10-04,10-11;11-08,11-15",,8.0,12.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-97,STREET SWEEPING 12:00-16:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,12.0,16.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-98,STREET SWEEPING 12:00-16:00 THU - 1st 3rd WEEKS,"04-08,04-15;05-06,05-13;05-27,06-03;06-10,06-17;07-08,07-15;07-29,08-05;08-12,08-19;08-26,09-02;09-09,09-16;10-07,10-14;10-28,11-04;11-11,11-18",,12.0,16.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-99,STREET SWEEPING 08:00-12:00 THU - 1st 3rd WEEKS,"04-08,04-15;05-06,05-13;05-27,06-03;06-10,06-17;07-08,07-15;07-29,08-05;08-12,08-19;08-26,09-02;09-09,09-16;10-07,10-14;10-28,11-04;11-11,11-18",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-100,STREET SWEEPING 08:00-12:00 THU - 1st 3rd WEEKS,"04-08,04-15;05-06,05-13;05-27,06-03;06-10,06-17;07-08,07-15;07-29,08-05;08-12,08-19;08-26,09-02;09-09,09-16;10-07,10-14;10-28,11-04;11-11,11-18",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-101,STREET SWEEPING 12:00-16:00 WED - 2nd 4th WEEKS,"03-31,04-07;04-14,04-21;04-28,05-05;05-12,05-19;06-02,06-09;06-16,06-23;06-30,07-07;07-14,07-21;08-04,08-11;08-18,08-25;09-01,09-08;09-15,09-22;09-29,10-06;10-13,10-20;11-03,11-10;11-17,11-24",,12.0,16.0,4.0,,,1,,,,,,,sweeping
BOS-SSWP-102,STREET SWEEPING 08:00-12:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-104,STREET SWEEPING 00:00-07:00 DAILY - WEEKLY,"04-01,11-30",,0.0,7.0,7.0,,,,,,,,1,,sweeping
BOS-SSWP-105,STREET SWEEPING 08:00-12:00 WED - 1st 3rd WEEKS,"04-07,04-14;05-05,05-12;05-26,06-02;06-09,06-16;07-07,07-14;07-28,08-04;08-11,08-18;09-08,09-15;10-06,10-13;10-27,11-03;11-10,11-17",,8.0,12.0,4.0,,,1,,,,,,,sweeping
BOS-SSWP-106,STREET SWEEPING 12:00-16:00 THU - 1st 3rd WEEKS,"04-08,04-15;05-06,05-13;05-27,06-03;06-10,06-17;07-08,07-15;07-29,08-05;08-12,08-19;08-26,09-02;09-09,09-16;10-07,10-14;10-28,11-04;11-11,11-18",,12.0,16.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-107,STREET SWEEPING 08:00-12:00 FRI - 1st 3rd WEEKS,"03-26,04-02;04-09,04-16;05-07,05-14;05-28,06-04;06-11,06-18;06-25,07-02;07-09,07-16;07-30,08-06;08-13,08-20;08-27,09-03;09-10,09-17;10-08,10-15;10-29,11-05;11-12,11-19",,8.0,12.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-108,STREET SWEEPING 08:00-12:00 THU - WEEKLY,"04-01,11-30",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-109,STREET SWEEPING 12:00-16:00 FRI - 1st 3rd WEEKS,"03-26,04-02;04-09,04-16;05-07,05-14;05-28,06-04;06-11,06-18;06-25,07-02;07-09,07-16;07-30,08-06;08-13,08-20;08-27,09-03;09-10,09-17;10-08,10-15;10-29,11-05;11-12,11-19",,12.0,16.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-110,STREET SWEEPING 12:00-16:00 TUE - 2nd 4th WEEKS,"03-30,04-06;04-13,04-20;04-27,05-04;05-11,05-18;06-01,06-08;06-15,06-22;06-29,07-06;07-13,07-20;08-03,08-10;08-17,08-24;08-31,09-07;09-14,09-21;09-28,10-05;10-12,10-19;11-02,11-09;11-16,11-23",,12.0,16.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-111,STREET SWEEPING 08:00-12:00 FRI - 2nd 4th WEEKS,"04-02,04-09;04-16,04-23;04-30,05-07;05-14,05-21;06-04,06-11;06-18,06-25;07-02,07-09;07-16,07-23;08-06,08-13;08-20,08-27;09-03,09-10;09-17,09-24;10-01,10-08;10-15,10-22;11-05,11-12;11-19,11-26",,8.0,12.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-112,STREET SWEEPING 09:00-13:00 FRI - 1st 3rd WEEKS,"03-26,04-02;04-09,04-16;05-07,05-14;05-28,06-04;06-11,06-18;06-25,07-02;07-09,07-16;07-30,08-06;08-13,08-20;08-27,09-03;09-10,09-17;10-08,10-15;10-29,11-05;11-12,11-19",,9.0,13.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-113,STREET SWEEPING 08:00-12:00 MON - 1st 3rd WEEKS,"04-05,04-12;05-03,05-10;06-07,06-14;07-05,07-12;07-26,08-02;08-09,08-16;09-06,09-13;10-04,10-11;11-08,11-15",,8.0,12.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-114,STREET SWEEPING 12:00-16:00 THU - 1st 3rd WEEKS,"04-08,04-15;05-06,05-13;05-27,06-03;06-10,06-17;07-08,07-15;07-29,08-05;08-12,08-19;08-26,09-02;09-09,09-16;10-07,10-14;10-28,11-04;11-11,11-18",,12.0,16.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-115,STREET SWEEPING 00:00-07:00 DAILY - YEAR ROUND,,,0.0,7.0,7.0,,,,,,,,1,,sweeping
BOS-SSWP-116,STREET SWEEPING 12:00-16:00 MON - 2nd 4th WEEKS,"03-29,04-05;04-12,04-19;04-26,05-03;05-10,05-17;05-31,06-07;06-14,06-21;06-28,07-05;07-12,07-19;08-02,08-09;08-16,08-23;08-30,09-06;09-13,09-20;09-27,10-04;10-11,10-18;11-01,11-08;11-15,11-22",,12.0,16.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-117,STREET SWEEPING 12:00-16:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,12.0,16.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-118,STREET SWEEPING 12:00-16:00 FRI - 1st 3rd WEEKS,"03-26,04-02;04-09,04-16;05-07,05-14;05-28,06-04;06-11,06-18;06-25,07-02;07-09,07-16;07-30,08-06;08-13,08-20;08-27,09-03;09-10,09-17;10-08,10-15;10-29,11-05;11-12,11-19",,12.0,16.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-119,STREET SWEEPING 12:00-16:00 WED - 2nd 4th WEEKS,"03-31,04-07;04-14,04-21;04-28,05-05;05-12,05-19;06-02,06-09;06-16,06-23;06-30,07-07;07-14,07-21;08-04,08-11;08-18,08-25;09-01,09-08;09-15,09-22;09-29,10-06;10-13,10-20;11-03,11-10;11-17,11-24",,12.0,16.0,4.0,,,1,,,,,,,sweeping
BOS-SSWP-120,STREET SWEEPING 12:00-16:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,12.0,16.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-121,STREET SWEEPING 08:00-12:00 THU - 1st 3rd WEEKS,"04-08,04-15;05-06,05-13;05-27,06-03;06-10,06-17;07-08,07-15;07-29,08-05;08-12,08-19;08-26,09-02;09-09,09-16;10-07,10-14;10-28,11-04;11-11,11-18",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-122,STREET SWEEPING 08:00-12:00 TUE - 2nd 4th WEEKS,"03-30,04-06;04-13,04-20;04-27,05-04;05-11,05-18;06-01,06-08;06-15,06-22;06-29,07-06;07-13,07-20;08-03,08-10;08-17,08-24;08-31,09-07;09-14,09-21;09-28,10-05;10-12,10-19;11-02,11-09;11-16,11-23",,8.0,12.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-123,STREET SWEEPING 08:00-12:00 FRI - 2nd 4th WEEKS,"04-02,04-09;04-16,04-23;04-30,05-07;05-14,05-21;06-04,06-11;06-18,06-25;07-02,07-09;07-16,07-23;08-06,08-13;08-20,08-27;09-03,09-10;09-17,09-24;10-01,10-08;10-15,10-22;11-05,11-12;11-19,11-26",,8.0,12.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-124,STREET SWEEPING 08:00-12:00 TUE - 2nd 4th WEEKS,"03-30,04-06;04-13,04-20;04-27,05-04;05-11,05-18;06-01,06-08;06-15,06-22;06-29,07-06;07-13,07-20;08-03,08-10;08-17,08-24;08-31,09-07;09-14,09-21;09-28,10-05;10-12,10-19;11-02,11-09;11-16,11-23",,8.0,12.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-125,STREET SWEEPING 09:00-13:00 FRI - 1st 3rd WEEKS,"03-26,04-02;04-09,04-16;05-07,05-14;05-28,06-04;06-11,06-18;06-25,07-02;07-09,07-16;07-30,08-06;08-13,08-20;08-27,09-03;09-10,09-17;10-08,10-15;10-29,11-05;11-12,11-19",,9.0,13.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-126,STREET SWEEPING 08:00-12:00 WED - 2nd 4th WEEKS,"03-31,04-07;04-14,04-21;04-28,05-05;05-12,05-19;06-02,06-09;06-16,06-23;06-30,07-07;07-14,07-21;08-04,08-11;08-18,08-25;09-01,09-08;09-15,09-22;09-29,10-06;10-13,10-20;11-03,11-10;11-17,11-24",,8.0,12.0,4.0,,,1,,,,,,,sweeping
BOS-SSWP-127,STREET SWEEPING 08:00-12:00 TUE - 2nd 4th WEEKS,"03-30,04-06;04-13,04-20;04-27,05-04;05-11,05-18;06-01,06-08;06-15,06-22;06-29,07-06;07-13,07-20;08-03,08-10;08-17,08-24;08-31,09-07;09-14,09-21;09-28,10-05;10-12,10-19;11-02,11-09;11-16,11-23",,8.0,12.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-128,STREET SWEEPING 08:00-12:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-129,STREET SWEEPING 12:00-16:00 FRI - 1st 3rd WEEKS,"03-26,04-02;04-09,04-16;05-07,05-14;05-28,06-04;06-11,06-18;06-25,07-02;07-09,07-16;07-30,08-06;08-13,08-20;08-27,09-03;09-10,09-17;10-08,10-15;10-29,11-05;11-12,11-19",,12.0,16.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-130,STREET SWEEPING 12:00-16:00 TUE - 2nd 4th WEEKS,"03-30,04-06;04-13,04-20;04-27,05-04;05-11,05-18;06-01,06-08;06-15,06-22;06-29,07-06;07-13,07-20;08-03,08-10;08-17,08-24;08-31,09-07;09-14,09-21;09-28,10-05;10-12,10-19;11-02,11-09;11-16,11-23",,12.0,16.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-131,STREET SWEEPING 12:00-16:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,12.0,16.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-132,STREET SWEEPING 08:00-12:00 MON - 2nd 4th WEEKS,"03-29,04-05;04-12,04-19;04-26,05-03;05-10,05-17;05-31,06-07;06-14,06-21;06-28,07-05;07-12,07-19;08-02,08-09;08-16,08-23;08-30,09-06;09-13,09-20;09-27,10-04;10-11,10-18;11-01,11-08;11-15,11-22",,8.0,12.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-133,STREET SWEEPING 12:00-16:00 FRI - 1st 3rd WEEKS,"03-26,04-02;04-09,04-16;05-07,05-14;05-28,06-04;06-11,06-18;06-25,07-02;07-09,07-16;07-30,08-06;08-13,08-20;08-27,09-03;09-10,09-17;10-08,10-15;10-29,11-05;11-12,11-19",,12.0,16.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-134,STREET SWEEPING 08:00-12:00 MON - 1st 3rd WEEKS,"04-05,04-12;05-03,05-10;06-07,06-14;07-05,07-12;07-26,08-02;08-09,08-16;09-06,09-13;10-04,10-11;11-08,11-15",,8.0,12.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-135,STREET SWEEPING 08:00-12:00 MON - 2nd 4th WEEKS,"03-29,04-05;04-12,04-19;04-26,05-03;05-10,05-17;05-31,06-07;06-14,06-21;06-28,07-05;07-12,07-19;08-02,08-09;08-16,08-23;08-30,09-06;09-13,09-20;09-27,10-04;10-11,10-18;11-01,11-08;11-15,11-22",,8.0,12.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-136,STREET SWEEPING 08:00-12:00 MON - 1st 3rd WEEKS,"04-05,04-12;05-03,05-10;06-07,06-14;07-05,07-12;07-26,08-02;08-09,08-16;09-06,09-13;10-04,10-11;11-08,11-15",,8.0,12.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-137,STREET SWEEPING 08:00-12:00 FRI - 2nd 4th WEEKS,"04-02,04-09;04-16,04-23;04-30,05-07;05-14,05-21;06-04,06-11;06-18,06-25;07-02,07-09;07-16,07-23;08-06,08-13;08-20,08-27;09-03,09-10;09-17,09-24;10-01,10-08;10-15,10-22;11-05,11-12;11-19,11-26",,8.0,12.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-138,STREET SWEEPING 08:00-12:00 TUE - 1st 3rd WEEKS,"04-06,04-13;05-04,05-11;06-08,06-15;07-06,07-13;07-27,08-03;08-10,08-17;09-07,09-14;10-05,10-12;10-26,11-02;11-09,11-16",,8.0,12.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-139,STREET SWEEPING 12:00-16:00 FRI - 2nd 4th WEEKS,"04-02,04-09;04-16,04-23;04-30,05-07;05-14,05-21;06-04,06-11;06-18,06-25;07-02,07-09;07-16,07-23;08-06,08-13;08-20,08-27;09-03,09-10;09-17,09-24;10-01,10-08;10-15,10-22;11-05,11-12;11-19,11-26",,12.0,16.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-140,STREET SWEEPING 08:00-12:00 MON - 2nd 4th WEEKS,"03-29,04-05;04-12,04-19;04-26,05-03;05-10,05-17;05-31,06-07;06-14,06-21;06-28,07-05;07-12,07-19;08-02,08-09;08-16,08-23;08-30,09-06;09-13,09-20;09-27,10-04;10-11,10-18;11-01,11-08;11-15,11-22",,8.0,12.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-141,STREET SWEEPING 12:00-16:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,12.0,16.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-142,STREET SWEEPING 12:00-16:00 THU - 1st 3rd WEEKS,"04-08,04-15;05-06,05-13;05-27,06-03;06-10,06-17;07-08,07-15;07-29,08-05;08-12,08-19;08-26,09-02;09-09,09-16;10-07,10-14;10-28,11-04;11-11,11-18",,12.0,16.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-143,STREET SWEEPING 12:00-16:00 WED - 2nd 4th WEEKS,"03-31,04-07;04-14,04-21;04-28,05-05;05-12,05-19;06-02,06-09;06-16,06-23;06-30,07-07;07-14,07-21;08-04,08-11;08-18,08-25;09-01,09-08;09-15,09-22;09-29,10-06;10-13,10-20;11-03,11-10;11-17,11-24",,12.0,16.0,4.0,,,1,,,,,,,sweeping
BOS-SSWP-144,STREET SWEEPING 12:00-16:00 MON - 2nd 4th WEEKS,"03-29,04-05;04-12,04-19;04-26,05-03;05-10,05-17;05-31,06-07;06-14,06-21;06-28,07-05;07-12,07-19;08-02,08-09;08-16,08-23;08-30,09-06;09-13,09-20;09-27,10-04;10-11,10-18;11-01,11-08;11-15,11-22",,12.0,16.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-145,STREET SWEEPING 12:00-16:00 TUE - 1st 3rd WEEKS,"04-06,04-13;05-04,05-11;06-08,06-15;07-06,07-13;07-27,08-03;08-10,08-17;09-07,09-14;10-05,10-12;10-26,11-02;11-09,11-16",,12.0,16.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-146,STREET SWEEPING 00:00-07:00 WED - YEAR ROUND,,,0.0,7.0,7.0,,,1,,,,,,,sweeping
BOS-SSWP-147,STREET SWEEPING 12:00-16:00 MON - 2nd 4th WEEKS,"03-29,04-05;04-12,04-19;04-26,05-03;05-10,05-17;05-31,06-07;06-14,06-21;06-28,07-05;07-12,07-19;08-02,08-09;08-16,08-23;08-30,09-06;09-13,09-20;09-27,10-04;10-11,10-18;11-01,11-08;11-15,11-22",,12.0,16.0,4.0,1,,,,,,,,,sweeping
BOS-SSWP-148,STREET SWEEPING 08:00-12:00 TUE - 2nd 4th WEEKS,"03-30,04-06;04-13,04-20;04-27,05-04;05-11,05-18;06-01,06-08;06-15,06-22;06-29,07-06;07-13,07-20;08-03,08-10;08-17,08-24;08-31,09-07;09-14,09-21;09-28,10-05;10-12,10-19;11-02,11-09;11-16,11-23",,8.0,12.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-149,STREET SWEEPING 12:00-16:00 FRI - 2nd 4th WEEKS,"04-02,04-09;04-16,04-23;04-30,05-07;05-14,05-21;06-04,06-11;06-18,06-25;07-02,07-09;07-16,07-23;08-06,08-13;08-20,08-27;09-03,09-10;09-17,09-24;10-01,10-08;10-15,10-22;11-05,11-12;11-19,11-26",,12.0,16.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-150,STREET SWEEPING 08:00-12:00 THU - 1st 3rd WEEKS,"04-08,04-15;05-06,05-13;05-27,06-03;06-10,06-17;07-08,07-15;07-29,08-05;08-12,08-19;08-26,09-02;09-09,09-16;10-07,10-14;10-28,11-04;11-11,11-18",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-151,STREET SWEEPING 08:00-12:00 THU - 2nd 4th WEEKS,"04-01,04-08;04-15,04-22;04-29,05-06;05-13,05-20;06-03,06-10;06-17,06-24;07-01,07-08;07-15,07-22;08-05,08-12;08-19,08-26;09-02,09-09;09-16,09-23;09-30,10-07;10-14,10-21;11-04,11-11;11-18,11-25",,8.0,12.0,4.0,,,,1,,,,,,sweeping
BOS-SSWP-152,STREET SWEEPING 08:00-12:00 TUE - 2nd 4th WEEKS,"03-30,04-06;04-13,04-20;04-27,05-04;05-11,05-18;06-01,06-08;06-15,06-22;06-29,07-06;07-13,07-20;08-03,08-10;08-17,08-24;08-31,09-07;09-14,09-21;09-28,10-05;10-12,10-19;11-02,11-09;11-16,11-23",,8.0,12.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-153,STREET SWEEPING 02:00-07:00 DAILY - YEAR ROUND,,,2.0,7.0,5.0,,,,,,,,1,,sweeping
BOS-SSWP-154,STREET SWEEPING 08:00-12:00 FRI - 1st 3rd WEEKS,"03-26,04-02;04-09,04-16;05-07,05-14;05-28,06-04;06-11,06-18;06-25,07-02;07-09,07-16;07-30,08-06;08-13,08-20;08-27,09-03;09-10,09-17;10-08,10-15;10-29,11-05;11-12,11-19",,8.0,12.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-155,STREET SWEEPING 08:00-12:00 FRI - 2nd 4th WEEKS,"04-02,04-09;04-16,04-23;04-30,05-07;05-14,05-21;06-04,06-11;06-18,06-25;07-02,07-09;07-16,07-23;08-06,08-13;08-20,08-27;09-03,09-10;09-17,09-24;10-01,10-08;10-15,10-22;11-05,11-12;11-19,11-26",,8.0,12.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-156,STREET SWEEPING 08:00-12:00 WED THU - 2nd 4th WEEKS,"03-31,04-07;04-01,04-08;04-14,04-21;04-15,04-22;04-28,05-05;04-29,05-06;05-12,05-19;05-13,05-20;06-02,06-09;06-03,06-10;06-16,06-23;06-17,06-24;06-30,07-07;07-01,07-08;07-14,07-21;07-15,07-22;08-04,08-11;08-05,08-12;08-18,08-25;08-19,08-26;09-01,09-08;09-02,09-09;09-15,09-22;09-16,09-23;09-29,10-06;09-30,10-07;10-13,10-20;10-14,10-21;11-03,11-10;11-04,11-11;11-17,11-24;11-18,11-25",,8.0,12.0,4.0,,,1,1,,,,,,sweeping
BOS-SSWP-157,STREET SWEEPING 12:00-16:00 WED - 1st 3rd WEEKS,"04-07,04-14;05-05,05-12;05-26,06-02;06-09,06-16;07-07,07-14;07-28,08-04;08-11,08-18;09-08,09-15;10-06,10-13;10-27,11-03;11-10,11-17",,12.0,16.0,4.0,,,1,,,,,,,sweeping
BOS-SSWP-158,STREET SWEEPING 12:00-16:00 FRI - 2nd 4th WEEKS,"04-02,04-09;04-16,04-23;04-30,05-07;05-14,05-21;06-04,06-11;06-18,06-25;07-02,07-09;07-16,07-23;08-06,08-13;08-20,08-27;09-03,09-10;09-17,09-24;10-01,10-08;10-15,10-22;11-05,11-12;11-19,11-26",,12.0,16.0,4.0,,,,,1,,,,,sweeping
BOS-SSWP-159,STREET SWEEPING 12:00-16:00 TUE - 2nd 4th WEEKS,"03-30,04-06;04-13,04-20;04-27,05-04;05-11,05-18;06-01,06-08;06-15,06-22;06-29,07-06;07-13,07-20;08-03,08-10;08-17,08-24;08-31,09-07;09-14,09-21;09-28,10-05;10-12,10-19;11-02,11-09;11-16,11-23",,12.0,16.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-160,STREET SWEEPING 12:00-16:00 WED - 2nd 4th WEEKS,"03-31,04-07;04-14,04-21;04-28,05-05;05-12,05-19;06-02,06-09;06-16,06-23;06-30,07-07;07-14,07-21;08-04,08-11;08-18,08-25;09-01,09-08;09-15,09-22;09-29,10-06;10-13,10-20;11-03,11-10;11-17,11-24",,12.0,16.0,4.0,,,1,,,,,,,sweeping
BOS-SSWP-161,STREET SWEEPING 08:00-12:00 TUE - 1st 3rd WEEKS,"04-06,04-13;05-04,05-11;06-08,06-15;07-06,07-13;07-27,08-03;08-10,08-17;09-07,09-14;10-05,10-12;10-26,11-02;11-09,11-16",,8.0,12.0,4.0,,1,,,,,,,,sweeping
BOS-SSWP-162,STREET SWEEPING 08:00-12:00 WED - 1st 3rd 5th WEEKS,"04-07,04-14;04-21,04-28;05-05,05-12;05-19,05-26;05-26,06-02;06-09,06-16;06-23,06-30;07-07,07-14;07-21,07-28;07-28,08-04;08-11,08-18;08-25,09-01;09-08,09-15;09-22,09-29;10-06,10-13;10-20,10-27;10-27,11-03;11-10,11-17;11-24,12-01",,8.0,12.0,4.0,,,1,,,,,,,sweeping
BOS-SSWP-163,STREET SWEEPING 05:00-07:00 FRI - WEEKLY,"04-01,11-30",,5.0,7.0,2.0,,,,,1,,,,,sweeping
BOS-SSWP-164,STREET SWEEPING 12:00-16:00 WED - 2nd 4th WEEKS,"03-31,04-07;04-14,04-21;04-28,05-05;05-12,05-19;06-02,06-09;06-16,06-23;06-30,07-07;07-14,07-21;08-04,08-11;08-18,08-25;09-01,09-08;09-15,09-22;09-29,10-06;10-13,10-20;11-03,11-10;11-17,11-24",,12.0,16.0,4.0,,,1,,,,,,,sweeping
BOS-SSWP-165,STREET SWEEPING 08:00-12:00 TUE - 2nd 4th WEEKS,"03-30,04-06;04-13,04-20;04-27,05-04;05-11,05-18;06-01,06-08;06-15,06-22;06-29,07-06;07-13,07-20;08-03,08-10;08-17,08-24;08-31,09-07;09-14,09-21;09-28,10-05;10-12,10-19;11-02,11-09;11-16,11-23",,8.0,12.0,4.0,,1,,,,,,,,sweeping
